States/UN,16th/JAN/21,19-Jan-21,22-Jan-21,24-Jan-21,25-Jan-21
Andhra Pradesh,18412,58495,127726,147030,155453
Arunachal Pradesh,829,2805,5782,6511,7307
Assam,3528,7418,13654,13881,19837
Bihar,18169,42085,63620,76125,88200
Chhattisgarh,5592,10872,22171,28732,40022
Delhi,4319,12441,18844,25811,33219
Haryana,5589,24944,62142,72204,105419
Himachal Pradesh,1517,5049,8817,13544,13544
Jammu & Kashmir,2044,4395,9850,11647,16173
Jharkhand,3096,8824,14769,14806,18422
Karnataka,13594,80686,182503,191443,230119
Kerala,8062,23855,46970,53529,71976
Lakshadweep,21,369,552,633,676
Madhya Pradesh,9219,18174,38278,38278,56586
Manipur,585,1111,1923,2319,2485
Mizoram,314,1091,3657,3979,4852
Nagaland,561,2286,3443,3443,3675
Odisha,13746,55138,121004,152371,177090
Puducherry,274,719,1097,1478,1813
Punjab,1319,5567,21230,31326,39414
Tamil Nadu,2945,25251,46825,61720,68916
Telangana,3653,69405,102724,110031,117978
Tripura,355,3734,14252,14252,19698
Uttarakhand,2276,6107,10298,10514,14546
West Bengal,9730,42093,80542,84505,121615
Goa,426,426,946,1561,1796
Gujarat,10787,17581,42395,78466,91110
Maharashtra,18328,30247,70032,99885,135609
Meghalaya,509,1037,2078,2236,2748
Rajasthan,9279,30761,37887,91856,119161
Sikkim,120,350,960,960,1047
Uttar Pradesh,21291,22644,59473,123761,123761
Chandigarh,265,469,1157,1502,1928
Andaman and Nicobar Islands,0,0,0,0,0
Dadra & Nagar Haveli,0,114,238,345,345
Daman & Diu,43,94,94,283,320
Ladakh,79,119,401,558,670
D a d r a   &   N a g a r,80,0,0,0,0
A & N Islands,225,644,1466,1998,2369
Miscellaneous,0,14017,32297,40144,40284
,,,,,
