,States/UN,16-Jan-21,19-Jan-21,22-Jan-21,24-Jan-21,25-Jan-21,26-Jan-21,28-Jan-21,29-Jan-21,30-Jan-21
0,Andaman and Nicobar Islands,225,644,1466,1998,2369,2369,2656,2727,2727
1,Andhra Pradesh,18412,58495,127726,147030,155453,156129,170910,177856,186581
2,Arunachal Pradesh,829,2805,5782,6511,7307,7307,8651,9226,9512
3,Assam,3528,7418,13654,13881,19837,19837,27693,36771,38106
4,Bihar,18169,42085,63620,76125,88200,88450,106824,110381,145231
5,Chandigarh,265,469,1157,1502,1928,1928,2764,2977,3447
6,Chhattisgarh,5592,10872,22171,28732,40022,40025,62110,62529,72707
7,Dadra & Nagar Haveli,80,114,238,345,345,345,493,607,692
8,Daman & Diu,43,94,94,283,320,320,286,333,391
9,Delhi,4319,12441,18844,25811,33219,33219,48008,48008,56757
10,Goa,426,426,946,1561,1796,1796,2882,3391,3391
11,Gujarat,10787,17581,42395,78466,91110,91927,154234,216004,244398
12,Haryana,5589,24944,62142,72204,105419,105419,115968,123935,125898
13,Himachal Pradesh,1517,5049,8817,13544,13544,13544,18848,22918,27734
14,Jammu and Kashmir,2044,4395,9850,11647,16173,16173,22401,26634,26634
15,Jharkhand,3096,8824,14769,14806,18422,18413,24315,33074,40680
16,Karnataka,13594,80686,182503,191443,230119,231601,284979,307752,315343
17,Kerala,8062,23855,46970,53529,71976,71973,106393,135832,158687
18,Ladakh,79,119,401,558,670,670,818,989,1128
19,Lakshadweep,21,369,552,633,676,676,746,746,807
20,Madhya Pradesh,9219,18174,38278,38278,56586,67083,167838,222193,273872
21,Maharashtra,18328,30247,70032,99885,135609,136901,218030,257173,269064
22,Manipur,585,1111,1923,2319,2485,2485,2855,3399,3987
23,Meghalaya,509,1037,2078,2236,2748,2748,3849,4200,4324
24,Miscellaneous,0,14017,32297,40144,40284,43625,48401,48401,52120
25,Mizoram,314,1091,3657,3979,4852,4852,6728,8497,9346
26,Nagaland,561,2286,3443,3443,3675,3675,3973,3973,3993
27,Odisha,13746,55138,121004,152371,177090,177090,194058,205200,206424
28,Puducherry,274,719,1097,1478,1813,1813,1813,2299,2736
29,Punjab,1319,5567,21230,31326,39414,39418,50977,54991,57499
30,Rajasthan,9279,30761,37887,91856,119161,161332,244204,273866,326745
31,Sikkim,120,350,960,960,1047,1047,1748,1976,2020
32,Tamil Nadu,2945,25251,46825,61720,68916,73953,88467,97126,101840
33,Telangana,3653,69405,102724,110031,117978,130425,146665,157831,166606
34,Tripura,355,3734,14252,14252,19698,19698,24302,27617,29796
35,Uttar Pradesh,21291,22644,59473,123761,123761,123761,277608,431879,463793
36,Uttarakhand,2276,6107,10298,10514,14546,14546,19517,25067,28380
37,West Bengal,9730,42093,80542,84505,121615,122851,184596,220356,242761
