,States/UN,16-Jan-21,18-Jan-21,20-Jan-21,21-Jan-21,23-Jan-21,27-Jan-21
0,Andaman and Nicobar Islands,225,0,0,388,530,0
1,Andhra Pradesh,18412,9758,22548,15507,11562,8491
2,Arunachal Pradesh,829,1054,0,1518,525,0
3,Assam,3528,1822,0,2921,0,162
4,Bihar,18169,8656,38,15798,12165,606
5,Chandigarh,265,0,0,284,345,285
6,Chhattisgarh,5592,4459,5219,5788,8138,10906
7,Dadra & Nagar Haveli,80,0,0,59,83,0
8,Daman & Diu,43,0,0,0,189,0
9,Delhi,4319,3111,0,5128,6111,6441
10,Goa,426,0,0,0,615,476
11,Gujarat,10787,0,0,12212,22063,1366
12,Haryana,5589,3486,1192,15491,9188,5353
13,Himachal Pradesh,1517,2914,45,695,3935,461
14,Jammu and Kashmir,2044,1139,0,2408,1820,158
15,Jharkhand,3096,2687,2779,0,0,5287
16,Karnataka,13594,36888,36211,16103,3669,33124
17,Kerala,8062,7070,262,10226,6012,10541
18,Ladakh,79,0,108,0,157,141
19,Lakshadweep,21,180,0,0,81,0
20,Madhya Pradesh,9219,6665,6731,7117,0,60194
21,Maharashtra,18328,0,16261,0,21751,37575
22,Manipur,585,291,334,0,396,360
23,Meghalaya,509,0,311,420,158,482
24,Miscellaneous,0,0,0,0,0,0
25,Mizoram,314,220,417,1029,322,872
26,Nagaland,561,864,447,199,0,547
27,Odisha,13746,22579,7891,26558,14892,1195
28,Puducherry,274,183,0,0,381,0
29,Punjab,1319,1882,2003,4832,8968,4636
30,Rajasthan,9279,0,0,0,7900,71632
31,Sikkim,120,0,80,194,0,257
32,Tamil Nadu,2945,7628,6834,6497,4642,4316
33,Telangana,3653,10352,0,26441,0,0
34,Tripura,355,1211,0,5538,0,0
35,Uttar Pradesh,21291,0,0,0,0,0
36,Uttarakhand,2276,1579,0,2003,0,172
37,West Bengal,9730,11588,2296,7187,0,33263
